Cities,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Country,Datetime
San Jorge,-31.9,-61.86,64.0,28,0,4.0,AR,1590953101
Turukhansk,65.82,87.98,45.55,61,100,15.5,RU,1590953101
Busselton,-33.65,115.33,55.99,74,100,3.29,AU,1590953101
Kadoma,34.73,135.58,66.99,75,44,3.53,JP,1590953101
Lebu,-37.62,-73.65,53.96,64,47,17.54,CL,1590953101
Klaksvík,62.23,-6.59,55.4,76,100,13.87,FO,1590953102
Ushuaia,-54.8,-68.3,42.8,70,75,6.93,AR,1590952887
Rikitea,-23.12,-134.97,75.47,85,19,9.42,PF,1590953102
Atuona,-9.8,-139.03,80.51,78,1,20.04,PF,1590953102
Albany,42.6,-73.97,64.0,39,70,11.74,US,1590953040
Mataura,-46.19,168.86,35.04,85,0,1.97,NZ,1590953103
Tasiilaq,65.61,-37.64,41.0,75,0,13.87,GL,1590953103
Jamestown,42.1,-79.24,54.0,50,75,9.17,US,1590952961
Kapaa,22.08,-159.32,78.8,74,40,14.99,US,1590953103
Faya,18.39,42.45,75.2,64,20,4.7,SA,1590953103
Qaanaaq,77.48,-69.36,31.15,91,36,0.98,GL,1590953103
Kostino,58.91,53.27,43.66,95,100,5.7,RU,1590953104
Cherskiy,68.75,161.3,50.52,48,100,4.5,RU,1590953104
Anadyr,64.75,177.48,42.8,81,0,11.18,RU,1590953104
Murmashi,68.82,32.81,42.8,93,75,4.47,RU,1590953104
Butaritari,3.07,172.79,83.3,78,12,14.27,KI,1590953104
Pangnirtung,66.15,-65.71,32.0,91,75,8.05,CA,1590953104
Bokovskaya,49.23,41.83,57.61,82,0,10.96,RU,1590953104
Hobyo,5.35,48.53,82.81,72,100,26.33,SO,1590953105
Pangody,65.85,74.49,35.26,83,0,12.82,RU,1590953105
Dongsheng,39.82,109.98,57.92,29,0,13.8,CN,1590953105
Bambous Virieux,-20.34,57.76,73.4,83,40,6.93,MU,1590953105
Taoudenni,22.68,-3.98,103.23,11,29,7.27,ML,1590952865
Esperance,-33.87,121.9,51.8,100,90,6.93,AU,1590953105
Puerto del Rosario,28.5,-13.86,73.4,73,40,6.93,ES,1590953105
Yellowknife,62.46,-114.35,60.8,36,75,16.11,CA,1590953106
Severo-Kuril'sk,50.68,156.12,40.21,73,63,4.68,RU,1590953106
Bethel,41.37,-73.41,66.99,34,75,12.75,US,1590953106
Tupik,54.43,119.93,35.78,83,0,0.69,RU,1590953106
Port Moresby,-9.44,147.18,75.2,100,75,4.7,PG,1590953106
Punta Arenas,-53.15,-70.92,44.6,81,100,4.7,CL,1590953035
La Ronge,55.1,-105.28,73.4,35,75,13.87,CA,1590953107
Hobart,-42.88,147.33,48.99,76,75,5.82,AU,1590952814
Stykkisholmur,65.08,-22.73,46.15,69,92,6.87,IS,1590953107
San Patricio,19.22,-104.7,80.6,69,5,11.41,MX,1590953107
Te Anau,-45.42,167.72,38.16,77,0,0.56,NZ,1590953107
Raja,8.46,25.68,81.75,52,35,6.06,SS,1590953108
Kaitangata,-46.28,169.85,46.99,83,0,1.01,NZ,1590953108
Amboasary,-25.03,46.38,66.2,93,75,6.93,MG,1590953108
Saskylakh,71.92,114.08,39.58,83,99,6.42,RU,1590953108
Chapleau,47.84,-83.4,50.0,71,75,6.93,CA,1590953108
Clyde River,70.47,-68.59,30.2,80,90,11.41,CA,1590953109
Gigmoto,13.78,124.39,80.37,82,100,5.91,PH,1590953110
Zalaszentgrót,46.94,17.08,51.8,87,90,12.75,HU,1590953110
New Norfolk,-42.78,147.06,46.99,67,100,2.3,AU,1590953110
Maniitsoq,65.42,-52.9,39.96,72,100,5.17,GL,1590953110
Belyy Yar,53.6,91.39,53.6,76,40,13.42,RU,1590953110
Christchurch,-43.53,172.63,53.01,93,100,14.99,NZ,1590952916
Tazovsky,67.47,78.7,36.88,80,64,11.18,RU,1590953111
Savannah Bight,16.45,-85.85,83.79,81,88,26.91,HN,1590953111
Bontang,0.13,117.5,80.98,81,14,4.14,ID,1590953111
Kuril'sk,45.23,147.88,51.26,58,0,0.83,RU,1590953111
Hondomachi-hondo,32.45,130.2,73.0,78,100,3.0,JP,1590953111
Trelleborg,55.38,13.16,63.0,45,0,6.93,SE,1590953111
Barentu,15.11,37.59,90.52,18,3,8.39,ER,1590953111
Hofn,64.25,-15.21,48.06,78,0,12.46,IS,1590953111
Hong Kong,22.29,114.16,84.0,79,100,5.99,HK,1590952888
Nikolskoye,59.7,30.79,53.6,34,0,6.71,RU,1590953112
Cukai,4.25,103.42,80.6,88,0,2.24,MY,1590953112
Mar del Plata,-38.0,-57.56,51.8,71,90,16.11,AR,1590952880
Ondjiva,-17.07,15.73,65.39,30,0,6.29,AO,1590953112
Kandrian,-6.22,149.55,77.23,90,100,5.7,PG,1590953112
Nome,64.5,-165.41,72.0,28,75,9.17,US,1590952836
Chokurdakh,70.63,147.92,40.32,67,42,1.92,RU,1590953113
Tagusao,9.19,117.81,80.98,78,0,5.23,PH,1590953113
Fare,-16.7,-151.02,81.05,80,28,14.58,PF,1590952985
Naze,28.37,129.48,77.0,94,90,2.24,JP,1590953113
Meulaboh,4.14,96.13,76.59,87,100,7.61,ID,1590953113
Manokwari,-0.87,134.08,79.75,72,100,3.29,ID,1590953114
Abomey-Calavi,6.45,2.36,82.4,83,20,10.29,BJ,1590953114
Ilulissat,69.22,-51.1,41.0,60,100,6.93,GL,1590953114
Sola,-13.88,167.55,77.0,100,90,14.67,VU,1590953114
Kitale,1.02,35.01,56.73,93,4,0.69,KE,1590953114
Hermanus,-34.42,19.23,50.0,97,0,1.7,ZA,1590953114
Laramie,41.31,-105.59,79.0,24,20,13.87,US,1590953114
Mehamn,71.04,27.85,44.62,94,98,18.45,NO,1590953114
Arco,45.92,10.89,62.01,69,20,9.17,IT,1590953115
Mehrān,33.12,46.16,69.8,22,0,4.7,IR,1590953115
Bredasdorp,-34.53,20.04,53.6,87,0,3.36,ZA,1590953115
Riyadh,24.69,46.72,93.2,18,0,3.36,SA,1590953081
Palmer,42.16,-72.33,66.0,27,40,16.11,US,1590952918
Chui,-33.7,-53.46,54.48,64,100,17.09,UY,1590953115
Baykit,61.67,96.37,46.67,85,100,2.04,RU,1590953115
Cape Town,-33.93,18.42,55.4,93,0,3.36,ZA,1590953115
Isabela,6.71,121.97,78.8,94,20,3.04,PH,1590953116
George Town,5.41,100.34,78.8,100,20,2.24,MY,1590953116
Deputatsky,69.3,139.9,36.81,72,27,2.73,RU,1590953116
Khovd,48.01,91.64,56.14,36,0,2.3,MN,1590953116
Saint Paul Harbor,57.79,-152.41,50.0,81,90,10.29,US,1590953116
Dicabisagan,17.08,122.42,77.04,78,92,3.69,PH,1590953116
Hilo,19.73,-155.09,80.6,57,20,9.17,US,1590953044
Khartoum,15.55,32.53,98.6,6,0,12.75,SD,1590953117
Quang Ngai,15.12,108.8,78.17,84,0,4.23,VN,1590953117
Vanimo,-2.67,141.3,78.85,85,97,5.03,PG,1590953117
Porto-Novo,6.5,2.6,82.4,83,20,10.29,BJ,1590953117
Ponta do Sol,32.67,-17.1,68.0,72,75,12.75,PT,1590953117
Mgandu,-5.95,34.13,62.24,64,1,4.99,TZ,1590953117
Skeldon,5.88,-57.13,80.74,88,91,8.03,GY,1590953117
Avarua,-21.21,-159.78,75.2,88,99,3.36,CK,1590953117
Longyearbyen,78.22,15.64,37.4,93,75,8.05,SJ,1590953118
Hambantota,6.12,81.12,80.6,100,100,4.7,LK,1590953118
Abéché,13.83,20.83,85.86,14,0,1.61,TD,1590953118
Saint-Joseph,-21.37,55.62,69.8,77,0,8.05,RE,1590953118
Tromsø,69.65,18.96,53.6,62,97,16.11,NO,1590953116
Rome,43.21,-75.46,57.2,44,40,13.87,US,1590953118
Abnūb,27.27,31.15,80.6,34,0,11.41,EG,1590953119
Mount Gambier,-37.83,140.77,46.4,75,75,17.22,AU,1590953119
Port Hedland,-20.32,118.57,68.0,45,100,10.29,AU,1590953119
Emerald,-23.53,148.17,53.6,76,75,3.18,AU,1590953119
Oddur,4.12,43.89,77.41,75,57,17.18,SO,1590953119
Vila,42.03,-8.16,66.0,82,100,12.75,PT,1590953119
Coquimbo,-29.95,-71.34,57.2,87,90,8.05,CL,1590953120
Esim,4.87,-2.24,79.81,80,2,4.94,GH,1590953120
Quelimane,-17.88,36.89,73.4,73,40,4.7,MZ,1590953120
Provideniya,64.38,-173.3,57.2,58,69,8.95,RU,1590953120
Nouadhibou,20.93,-17.03,69.8,83,0,14.99,MR,1590953120
Kruisfontein,-34.0,24.73,56.32,55,0,1.83,ZA,1590953120
Trairi,-3.28,-39.27,81.72,78,96,8.57,BR,1590953120
Khatanga,71.97,102.5,40.66,78,0,7.02,RU,1590953121
Tingo María,-9.29,-76.01,80.6,34,20,26.4,PE,1590953121
Thompson,55.74,-97.86,71.6,18,75,5.82,CA,1590953121
Kavaratti,10.57,72.64,83.16,79,100,19.93,IN,1590953121
Chauk,20.88,94.82,85.48,61,61,11.39,MM,1590953121
Mahébourg,-20.41,57.7,73.4,83,40,6.93,MU,1590953121
Kiama,-34.68,150.87,51.01,84,100,1.01,AU,1590953121
Naliya,23.27,68.83,82.09,88,8,12.59,IN,1590953122
Rock Sound,24.9,-76.2,79.52,81,73,9.69,BS,1590953122
Arrondissement de Bourg-en-Bresse,46.17,5.17,70.0,54,0,1.99,FR,1590953122
Gulābpura,25.9,74.67,88.11,36,81,9.42,IN,1590953122
Guadalupe y Calvo,26.1,-106.97,81.21,16,30,5.64,MX,1590953122
Tiksi,71.69,128.87,36.45,77,0,5.1,RU,1590953122
Saint George,37.1,-113.58,91.99,14,1,9.17,US,1590953122
Bandarbeyla,9.49,50.81,81.9,77,51,25.66,SO,1590953106
Dolores,-36.31,-57.68,52.2,57,100,17.45,AR,1590953123
Lüderitz,-26.65,15.16,59.0,77,0,7.72,NA,1590953123
Bereda,43.27,-7.54,64.4,82,98,3.36,ES,1590953123
Heihe,50.24,127.49,55.4,100,75,6.71,CN,1590953123
Ashington,50.93,-0.39,66.0,52,0,12.8,GB,1590953123
Karpogory,64.0,44.45,41.47,72,64,5.95,RU,1590953123
Mwense,-10.38,28.7,69.66,55,42,5.03,ZM,1590953123
Khāsh,28.22,61.22,74.62,14,0,4.29,IR,1590953124
Saldanha,-33.01,17.94,59.0,87,0,5.82,ZA,1590953124
Augusto Corrêa,-1.02,-46.63,79.07,94,100,2.75,BR,1590953124
Fortuna,40.6,-124.16,63.0,87,90,4.7,US,1590953124
Yima,34.74,111.88,78.01,99,0,7.85,CN,1590953124
Miraflores,19.22,-98.81,78.8,31,75,6.93,MX,1590953124
Najrān,17.49,44.13,84.2,21,0,6.29,SA,1590953124
Upernavik,72.79,-56.15,31.93,91,12,3.51,GL,1590953125
Gladstone,-23.85,151.25,62.6,82,40,3.36,AU,1590953125
Sumbe,-11.21,13.84,75.18,88,100,3.22,AO,1590953125
Olafsvik,64.89,-23.71,43.92,84,93,11.12,IS,1590953125
Vaini,-21.2,-175.2,77.0,94,90,3.36,TO,1590953125
Tuktoyaktuk,69.45,-133.04,33.8,74,40,16.11,CA,1590953125
Hay River,60.82,-115.8,39.2,61,90,16.11,CA,1590953125
Noumea,-22.28,166.46,66.2,93,90,2.24,NC,1590953126
Fes,34.04,-5.0,78.8,54,0,11.41,MA,1590953126
Krasnoborsk,61.56,45.93,45.25,68,99,7.58,RU,1590953126
Berdigestyakh,62.1,126.7,38.34,74,0,4.05,RU,1590953126
Nogliki,51.83,143.17,44.1,92,94,2.93,RU,1590953126
Ostrovnoy,68.05,39.51,37.49,80,0,2.95,RU,1590953126
Ribeira Grande,38.52,-28.7,66.2,72,40,18.34,PT,1590953126
Bolobo,-2.17,16.23,75.11,86,100,1.03,CD,1590953126
Krasnaya Polyana,56.24,51.14,51.42,95,100,5.55,RU,1590953127
São Filipe,14.9,-24.5,74.46,76,2,10.54,CV,1590953127
Caravelas,-17.71,-39.25,76.28,66,79,6.11,BR,1590953127
Comodoro Rivadavia,-45.87,-67.5,55.4,71,75,3.36,AR,1590953127
Tadine,-21.55,167.88,71.98,80,100,12.55,NC,1590953127
Damara,4.96,18.7,86.0,58,99,3.36,CF,1590953127
Makakilo City,21.35,-158.09,82.4,65,75,8.05,US,1590953127
Huarmey,-10.07,-78.15,73.47,68,56,12.5,PE,1590953127
Ipixuna,-1.76,-48.8,82.4,83,75,9.17,BR,1590953127
Sambava,-14.27,50.17,74.43,81,38,15.1,MG,1590953128
Lloydminster,53.28,-110.0,75.2,47,75,21.92,CA,1590953128
Shimoda,34.67,138.95,59.0,94,100,7.81,JP,1590953128
Kitami,43.8,143.89,50.0,74,0,7.0,JP,1590953128
Port-Gentil,-0.72,8.78,78.8,88,75,8.05,GA,1590953128
Denizli Province,37.84,29.07,59.0,62,75,6.93,TR,1590953128
Kifrī,34.7,44.97,83.21,14,0,10.85,IQ,1590953129
Fairhope,30.52,-87.9,89.01,45,1,8.05,US,1590953129
Castro,-24.79,-50.01,69.4,62,1,4.61,BR,1590953129
Agnibilékrou,7.13,-3.2,75.47,94,100,1.61,CI,1590952963
Aranos,-24.13,19.12,63.75,25,0,10.89,NA,1590953129
Paris,48.85,2.35,71.01,40,68,11.41,FR,1590952826
Zeya,53.75,127.27,43.68,92,100,3.29,RU,1590953130
Isiolo,0.35,37.58,71.42,56,0,14.25,KE,1590953130
Quijingue,-10.75,-39.21,79.21,68,47,7.05,BR,1590953130
Ochamchira,42.71,41.47,63.95,64,100,1.52,GE,1590953130
Hithadhoo,-0.6,73.08,84.18,69,96,9.44,MV,1590953131
Açu,-5.58,-36.91,82.4,74,100,8.1,BR,1590953131
Tokmak,47.25,35.71,56.89,83,43,6.22,UA,1590953131
Port Alfred,-33.59,26.89,68.0,45,0,0.94,ZA,1590953131
Airai,-8.93,125.41,56.68,100,2,3.47,TL,1590953131
Vila Velha,-20.33,-40.29,80.6,51,0,8.05,BR,1590953123
Faanui,-16.48,-151.75,80.08,82,4,14.79,PF,1590953132
Kavieng,-2.57,150.8,83.26,74,41,8.39,PG,1590953132
Carnarvon,-24.87,113.63,65.57,43,100,16.04,AU,1590953132
Puerto Ayora,-0.74,-90.35,84.2,66,20,23.04,EC,1590953132
Kaeo,-35.1,173.78,61.0,3,100,1.99,NZ,1590953133
Alofi,-19.06,-169.92,78.8,88,100,6.93,NU,1590953133
Bhuban,20.88,85.83,85.01,78,68,9.8,IN,1590953133
Coahuayana Viejo,18.73,-103.68,82.4,54,20,11.41,MX,1590953133
Rijssen,52.31,6.52,68.0,48,99,1.01,NL,1590953133
Honningsvåg,70.98,25.97,45.19,92,74,20.4,NO,1590953134
Asău,46.43,26.4,53.01,69,100,5.55,RO,1590953134
Mt. Pleasant,32.79,-79.86,80.6,78,40,10.29,US,1590953079
Gornopravdinsk,60.05,69.9,42.13,73,4,3.4,RU,1590953134
Sechura,-5.56,-80.82,79.68,56,25,10.47,PE,1590953134
Dingle,11.0,122.67,79.12,83,68,5.19,PH,1590953134
Nānākuli,21.39,-158.15,82.4,65,75,8.05,US,1590953134
Arraial do Cabo,-22.97,-42.03,77.0,65,11,5.82,BR,1590953134
Yangi Marg`ilon,40.43,71.72,75.2,29,68,11.41,UZ,1590953135
Dombarovskiy,50.76,59.54,69.22,60,58,9.93,RU,1590953135
Porto Belo,-27.16,-48.55,82.4,37,27,10.29,BR,1590953135
Begoro,6.39,-0.38,75.79,85,100,1.72,GH,1590953135
Nador,35.17,-2.93,69.8,73,13,4.7,MA,1590953135
Erdenet,49.03,104.08,42.89,86,96,5.1,MN,1590953135
Teya,60.38,92.63,46.11,86,100,8.34,RU,1590953136
Uva,56.99,52.19,46.99,94,100,1.01,RU,1590953136
Puerto Escondido,15.85,-97.07,87.8,74,40,14.99,MX,1590953136
Virginia Beach,36.85,-75.98,73.0,43,40,11.41,US,1590952891
Kashgar,39.45,75.98,69.8,32,100,8.95,CN,1590953136
Karratha,-20.74,116.85,74.07,40,100,18.7,AU,1590953136
Kununurra,-15.77,128.73,68.0,1,0,2.24,AU,1590953136
Lamar,33.67,-95.58,82.4,42,1,9.17,US,1590953136
Tura,25.52,90.22,71.49,97,9,4.18,IN,1590953136
Havøysund,71.0,24.66,53.6,62,40,25.28,NO,1590953137
Bengkulu,-3.8,102.27,77.04,85,2,5.82,ID,1590953137
Bayjī,34.93,43.49,85.77,13,0,8.63,IQ,1590953137
Terme,41.21,36.97,60.8,87,40,2.24,TR,1590953137
Kieta,-6.22,155.63,79.38,79,5,1.01,PG,1590953137
Zhigansk,66.77,123.37,40.84,92,100,15.14,RU,1590953050
Ust-Maya,60.42,134.53,35.37,78,0,1.12,RU,1590953137
Kampene,-3.6,26.67,72.23,77,4,0.38,CD,1590953138
Kapit,2.02,112.93,75.99,94,100,1.14,MY,1590953138
Omsukchan,62.53,155.8,34.07,90,99,3.2,RU,1590953138
Kudahuvadhoo,2.67,72.89,83.71,75,28,10.65,MV,1590952867
Luanda,-8.84,13.23,77.0,83,20,9.17,AO,1590953138
Reconquista,-29.15,-59.65,57.16,51,83,10.98,AR,1590953138
Ulladulla,-35.35,150.47,48.99,81,98,2.24,AU,1590953138
Yining,29.04,114.56,70.07,84,100,0.43,CN,1590953138
Valdepeñas,38.76,-3.38,77.0,35,100,8.99,ES,1590953139
Clacton-on-Sea,51.79,1.16,62.01,62,100,11.99,GB,1590952931
Rovaniemi,66.5,25.72,59.0,58,57,4.7,FI,1590953045
Cuiabá,-15.6,-56.1,91.4,27,0,3.36,BR,1590952881
Grand Gaube,-20.01,57.66,70.0,84,0,1.01,MU,1590953139
Phan Thiet,10.93,108.1,79.86,81,100,3.31,VN,1590953139
Andahuaylas,-13.66,-73.39,63.5,30,20,7.27,PE,1590953139
Iqaluit,63.75,-68.51,32.0,96,90,17.22,CA,1590952941
Ottawa,45.41,-75.7,55.99,37,75,14.99,CA,1590952865
Lata,40.16,-8.33,66.2,77,40,8.05,PT,1590953140
Saint-Philippe,-21.36,55.77,69.8,77,0,8.05,RE,1590953140
Darnah,32.77,22.64,72.73,57,84,2.37,LY,1590953140
Province of Mantua,45.17,10.78,66.99,67,23,3.02,IT,1590953084
San Rafael del Sur,11.85,-86.44,83.46,75,79,9.66,NI,1590953140
Bari Sādri,24.42,74.47,84.56,39,99,2.91,IN,1590953140
Bátaszék,46.19,18.72,51.26,87,100,10.87,HU,1590953141
Penzance,50.12,-5.54,62.6,63,38,19.46,GB,1590953141
Poum,-20.23,164.02,74.08,85,63,9.51,NC,1590952867
Sítio Novo do Tocantins,-5.52,-47.46,89.6,55,40,6.93,BR,1590953141
Fairbanks,64.84,-147.72,71.6,33,1,8.05,US,1590952893
Isla Mujeres,21.23,-86.73,86.0,70,90,13.87,MX,1590953141
Korla,41.76,86.15,76.84,18,1,3.47,CN,1590953141
Chimbote,-9.09,-78.58,72.23,72,48,12.93,PE,1590953141
Macas,-2.32,-78.12,78.8,61,40,8.05,EC,1590953141
Ngunguru,-35.62,174.5,61.0,98,100,8.99,NZ,1590953142
Kropotkin,45.44,40.58,59.59,74,56,5.21,RU,1590953142
Antsohihy,-14.88,47.99,77.38,56,37,11.3,MG,1590953142
Marawi,8.0,124.29,75.99,91,76,4.0,PH,1590953142
Mulegé,26.88,-111.98,91.62,37,0,10.11,MX,1590953142
Goya,-29.14,-59.26,57.52,49,98,8.57,AR,1590953142
Juneau,58.3,-134.42,51.8,81,90,13.87,US,1590953100
Bambari,5.77,20.68,75.63,88,100,2.62,CF,1590953143
Khanpur,28.65,70.66,88.16,37,83,12.86,PK,1590953143
Los Llanos de Aridane,28.66,-17.92,71.6,73,75,11.41,ES,1590953143
