Cities,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Country,Datetime
Torbay,47.67,-52.73,72.0,64,20,21.92,CA,1590953143
Camopi,3.17,-52.32,80.65,92,100,3.4,GF,1590953143
Ha Tinh,18.33,105.9,81.77,73,34,8.39,VN,1590953143
The Valley,18.22,-63.06,86.0,66,75,11.41,AI,1590953144
‘Ewa Beach,21.32,-158.01,82.4,54,20,13.87,US,1590953144
Biak,-0.91,122.88,78.39,83,93,5.77,ID,1590953144
Baoqing,46.33,132.21,50.54,69,28,9.01,CN,1590953144
Batemans Bay,-35.72,150.18,53.01,75,95,6.96,AU,1590953144
Yar-Sale,66.83,70.83,34.93,87,63,11.63,RU,1590953144
Jumla,29.27,82.18,52.74,67,96,3.49,NP,1590953145
Sabzawār,36.21,57.68,83.84,13,77,10.11,IR,1590953145
Bonavista,48.65,-53.11,53.08,83,9,20.83,CA,1590953145
Iisaku Parish,59.1,27.31,48.81,74,1,6.91,EE,1590953145
Merrill,45.18,-89.68,64.4,42,40,8.05,US,1590953145
Makkah al Mukarramah,21.43,39.83,84.97,36,0,6.31,SA,1590953146
Lagoa,39.05,-27.98,62.13,80,100,15.08,PT,1590953146
Cravo Norte,6.3,-70.2,81.63,79,59,8.39,CO,1590953146
Nuuk,64.18,-51.72,37.4,86,100,10.29,GL,1590953146
Isangel,-19.55,169.27,69.8,100,20,4.79,VU,1590953146
Hope,33.67,-93.59,82.0,39,96,3.0,US,1590953146
Tuatapere,-46.13,167.68,40.12,72,0,3.96,NZ,1590953146
Geraldton,-28.77,114.6,51.8,93,82,3.36,AU,1590953147
Kaduna,10.52,7.44,80.44,64,100,7.34,NG,1590953147
Paphos,34.77,32.42,66.2,72,20,6.93,CY,1590953147
California City,35.13,-117.99,78.8,21,1,5.82,US,1590953134
Boca do Acre,-8.75,-67.4,91.54,49,99,2.73,BR,1590953147
Chicama,-7.84,-79.15,78.03,57,8,10.71,PE,1590953147
Durusu,41.31,28.68,66.2,77,75,6.93,TR,1590953147
Saint-Augustin,51.23,-58.65,52.61,71,93,9.62,CA,1590953147
Garoua,9.3,13.4,98.6,37,20,4.7,CM,1590953148
Cabo San Lucas,22.89,-109.91,91.4,69,5,16.11,MX,1590953148
San Quintín,30.48,-115.95,71.31,63,0,16.22,MX,1590953148
Port Hawkesbury,45.62,-61.35,63.0,87,20,6.93,CA,1590953148
Madimba,-10.4,40.33,73.4,83,20,9.17,TZ,1590953148
Sabang,5.89,95.32,83.39,75,100,7.61,ID,1590953149
Saltillo,25.42,-101.0,71.6,49,40,11.41,MX,1590952950
Paulo Afonso,-9.41,-38.21,79.43,75,74,10.0,BR,1590953149
Jurm,36.86,70.83,60.6,41,0,1.12,AF,1590953149
Mwene-Ditu,-7.0,23.45,75.02,55,52,3.62,CD,1590953149
Leningradskiy,69.38,178.42,38.44,85,0,3.78,RU,1590953149
Beringovskiy,63.05,179.32,39.4,74,0,11.74,RU,1590953149
Lahaina,20.88,-156.68,84.2,48,20,18.34,US,1590952862
Ukiah,39.15,-123.21,72.0,53,1,5.82,US,1590953150
Impfondo,1.64,18.07,75.88,84,100,4.79,CG,1590953150
Clarksburg,39.28,-80.34,80.6,39,20,9.17,US,1590953150
Vardø,70.37,31.11,48.2,81,40,15.39,NO,1590953150
Piaçabuçu,-10.41,-36.43,78.82,85,52,8.19,BR,1590953150
Priargunsk,50.37,119.1,41.61,71,0,5.46,RU,1590953150
Maralal,1.1,36.7,59.23,78,35,5.06,KE,1590953151
Touros,-5.2,-35.46,84.2,70,20,8.05,BR,1590953151
Alta Floresta,-9.88,-56.09,91.4,41,20,4.7,BR,1590952995
Romans-sur-Isère,45.05,5.06,77.0,47,4,3.36,FR,1590953151
Ōhara,35.25,140.38,66.0,88,75,4.7,JP,1590953151
Saint-François,46.42,3.91,68.0,42,0,3.36,FR,1590953151
Fairlie,55.76,-4.86,66.99,45,0,10.29,GB,1590953151
Waitati,-45.75,170.57,48.99,74,17,13.0,NZ,1590953152
Seguin,29.57,-97.96,84.2,62,20,9.17,US,1590953152
Caldono,2.8,-76.48,70.54,81,79,1.68,CO,1590953152
Macheng,31.18,115.03,70.65,78,27,2.91,CN,1590953152
Rafaela,-31.25,-61.49,63.0,25,0,5.99,AR,1590953152
Guerrero Negro,27.98,-114.06,73.99,55,1,14.92,MX,1590952924
Chaniotis,40.0,23.58,68.0,87,68,1.01,GR,1590953152
Santa Maria,-29.68,-53.81,57.2,71,75,3.36,BR,1590953152
Bogalusa,30.79,-89.85,88.0,40,1,8.05,US,1590953085
Antofagasta,-23.65,-70.4,64.4,82,40,12.75,CL,1590953153
Sagua la Grande,22.81,-80.08,75.2,100,75,13.87,CU,1590953153
Kawalu,-7.38,108.21,73.04,91,68,1.36,ID,1590953153
Rodrigues Alves,-7.74,-72.65,84.2,70,40,4.7,BR,1590953153
Verkhnyaya Inta,65.98,60.31,40.15,90,100,3.09,RU,1590953153
Ovsyanka,55.96,92.55,48.2,76,40,13.42,RU,1590953154
Ola,59.58,151.28,39.31,89,87,3.78,RU,1590953154
Praia da Vitória,38.73,-27.07,68.0,72,75,14.23,PT,1590953154
Quatre Cocos,-20.21,57.76,73.4,83,40,6.93,MU,1590953154
Ucluelet,48.93,-125.55,57.99,62,20,16.11,CA,1590953154
Mount Vernon,40.91,-73.84,70.0,26,20,17.22,US,1590953154
Nokha,27.6,73.42,87.12,33,72,5.01,IN,1590953155
Takoradze,4.88,-1.76,79.97,82,86,6.26,GH,1590953155
Husavik,66.04,-17.34,46.4,81,75,19.46,IS,1590953155
Deniliquin,-35.53,144.97,48.99,90,100,5.01,AU,1590953155
Dhārchula,29.85,80.53,61.95,64,100,3.91,IN,1590953155
Talnakh,69.49,88.4,35.6,80,0,11.18,RU,1590953155
Adrar,20.5,-10.07,100.13,16,100,6.69,MR,1590953156
Sijunjung,-0.69,100.95,73.06,90,93,1.57,ID,1590953156
Ancud,-41.87,-73.82,55.4,71,20,8.05,CL,1590953156
Andenes,69.31,16.12,59.0,67,13,5.82,NO,1590953157
Rohtak,28.9,76.57,73.4,78,75,9.26,IN,1590953157
Norman Wells,65.28,-126.83,50.0,36,75,8.05,CA,1590953157
Manitouwadge,49.12,-85.84,53.6,62,40,5.82,CA,1590953157
Mazamari,-11.33,-74.53,90.12,31,0,2.21,PE,1590953157
Lazurne,46.08,32.53,59.0,100,97,8.01,UA,1590953157
Nkhata Bay,-11.61,34.29,72.21,71,8,4.81,MW,1590952867
Cayenne,4.93,-52.33,80.6,88,75,10.29,GF,1590953157
Kiruna,67.86,20.23,57.2,50,96,3.36,SE,1590952897
College,64.86,-147.8,71.6,35,75,8.05,US,1590953158
Qaqortoq,60.72,-46.03,47.68,56,100,4.47,GL,1590953158
Maragogi,-9.01,-35.22,78.76,83,47,1.25,BR,1590953158
Kaduqli,11.02,29.72,92.26,35,15,10.16,SD,1590953158
Kargasok,59.06,80.86,43.39,72,0,10.42,RU,1590953158
Amos,48.57,-78.12,46.99,49,75,9.17,CA,1590953048
Salalah,17.02,54.09,77.0,94,90,5.82,OM,1590953159
Phalodi,27.13,72.37,88.23,36,30,12.35,IN,1590953159
Quirinópolis,-18.45,-50.45,75.9,47,39,4.03,BR,1590953159
Meiktila,20.87,95.87,79.83,75,86,13.42,MM,1590953159
San Andrés,12.58,-81.7,87.8,70,75,5.82,CO,1590953160
Stephenville,32.22,-98.2,84.2,42,40,6.93,US,1590953160
Souillac,-20.52,57.52,73.4,83,40,6.93,MU,1590953160
Shishou,29.72,112.42,70.39,78,10,3.65,CN,1590953160
Kimberley,-28.73,24.76,46.4,31,77,1.12,ZA,1590953160
Wau,7.7,28.0,81.41,63,71,3.51,SS,1590953160
Rovnoye,50.78,46.05,59.79,77,0,10.6,RU,1590953160
Morondava,-20.28,44.28,75.16,71,0,10.94,MG,1590953160
Verkhnevilyuysk,63.45,120.32,42.13,65,55,4.09,RU,1590953161
Aquin,18.28,-73.4,84.42,63,54,5.7,HT,1590953161
Mercaderes,1.8,-77.17,69.8,73,40,6.93,CO,1590953161
Petropavlovsk-Kamchatskiy,53.05,158.65,37.4,86,99,4.47,RU,1590953161
Azoyú,16.72,-98.73,92.1,39,22,10.76,MX,1590953161
Dubti,11.74,41.09,98.74,17,37,14.09,ET,1590953161
Rawson,-43.3,-65.1,51.15,45,100,1.61,AR,1590953079
Mayumba,-3.43,10.66,76.12,87,99,3.89,GA,1590953162
Kisi,9.08,3.85,82.35,67,15,5.08,NG,1590953162
Katsuura,35.13,140.3,66.0,94,69,12.06,JP,1590953162
Rocha,-34.48,-54.33,54.05,69,100,20.85,UY,1590953066
Yulara,-25.24,130.99,48.2,42,0,9.17,AU,1590953162
Safakulevo,54.99,62.54,62.6,86,100,8.68,RU,1590953162
Ossora,59.24,163.07,37.2,86,81,4.34,RU,1590953162
Bainbridge Island,47.63,-122.52,55.4,76,90,6.93,US,1590953163
Sokna,60.24,9.92,73.99,46,8,2.28,NO,1590953163
Laas,46.62,10.7,53.6,54,5,3.36,IT,1590953163
Okato,-39.2,173.88,53.01,73,100,11.01,NZ,1590953163
Zaraza,9.35,-65.32,88.16,62,100,3.71,VE,1590953163
Mocuba,-16.84,36.99,62.85,94,2,1.77,MZ,1590953163
Bocas del Toro,9.33,-82.25,71.01,78,100,7.07,PA,1590953163
Kirchlinteln,52.95,9.32,64.0,57,83,9.62,DE,1590953164
Namatanai,-3.67,152.43,79.65,81,14,3.74,PG,1590953164
Plettenberg Bay,-34.05,23.37,62.02,57,0,2.46,ZA,1590953164
Qui Nhon,13.77,109.23,80.24,84,0,4.09,VN,1590953164
Hamilton,39.18,-84.53,72.0,35,1,8.05,US,1590952993
Lakes Entrance,-37.88,147.98,48.99,79,14,10.18,AU,1590953164
Maryville,35.76,-83.97,78.01,44,20,10.29,US,1590953164
Srednekolymsk,67.45,153.68,51.37,55,0,6.17,RU,1590953164
Tual,-5.67,132.75,82.42,81,94,20.18,ID,1590953165
Richards Bay,-28.78,32.04,68.54,90,0,10.31,ZA,1590952957
Champerico,14.3,-91.92,80.6,88,75,4.7,GT,1590953165
Indramayu,-6.33,108.32,80.26,79,5,6.8,ID,1590953066
Kysyl-Syr,63.9,122.76,43.83,61,98,4.72,RU,1590953165
Al Bardīyah,31.76,25.09,71.04,70,0,12.01,LY,1590953165
Bud,39.45,-86.18,70.0,42,1,8.05,US,1590953166
Ust'-Ilimsk,58.0,102.66,45.1,95,100,5.68,RU,1590953166
Half Moon Bay,37.46,-122.43,66.2,87,90,6.93,US,1590953166
Bilma,18.69,12.92,96.58,11,0,9.04,NE,1590953166
Joshīmath,30.57,79.57,56.26,57,92,0.29,IN,1590953166
Langxiang,46.95,128.88,55.98,93,100,2.84,CN,1590953166
Lavrentiya,65.58,-171.0,47.75,53,26,13.89,RU,1590953166
Katherine,-14.47,132.27,66.2,68,0,6.93,AU,1590953167
Paka,4.64,103.44,80.6,88,5,2.24,MY,1590953167
Ures,29.43,-110.4,100.0,32,81,5.99,MX,1590953167
Vyartsilya,62.18,30.69,47.8,58,84,5.23,RU,1590953167
Saint-Pierre,-21.34,55.48,69.8,77,0,8.05,RE,1590953167
Port Lincoln,-34.73,135.87,52.43,67,10,17.78,AU,1590953167
Zelenoborsk,61.47,64.03,44.29,63,87,5.79,RU,1590953167
Kedrovyy,56.17,91.82,48.2,76,40,13.42,RU,1590953168
Altavilla Vicentina,45.52,11.46,69.01,35,66,2.42,IT,1590953168
Werda,-25.27,23.28,63.05,28,0,4.05,BW,1590953168
Kupang,-10.17,123.58,75.29,84,2,9.64,ID,1590953168
Kiryat Gat,31.61,34.76,71.01,75,0,7.63,IL,1590952922
Alice Springs,-23.7,133.88,50.0,71,0,6.93,AU,1590953098
Dūkštas,55.53,26.33,52.03,59,0,10.47,LT,1590953169
Labytnangi,66.66,66.42,39.33,79,94,2.44,RU,1590953169
Puerto Peñasco,31.32,-113.53,79.0,84,61,8.99,MX,1590953169
Usinsk,65.99,57.53,39.0,84,64,8.81,RU,1590953169
San Felipe,10.34,-68.74,76.73,88,100,4.41,VE,1590953169
Béboto,8.27,16.94,83.59,52,96,4.27,TD,1590953170
Brigantine,39.41,-74.36,73.4,28,1,11.41,US,1590953170
Chara,56.91,118.26,37.98,73,3,1.01,RU,1590953170
Ust-Nera,64.57,143.2,39.04,79,100,2.42,RU,1590953170
Kalemie,-5.95,29.19,70.79,66,100,1.95,CD,1590953170
Wattegama,6.8,81.48,80.6,100,100,4.7,LK,1590953170
Susanville,40.42,-120.65,66.2,42,1,6.93,US,1590953170
Cururupu,-1.83,-44.87,81.21,90,100,2.73,BR,1590953170
Yinchuan,38.47,106.27,70.36,36,98,12.33,CN,1590953171
Kailua,21.4,-157.74,89.6,49,90,13.87,US,1590953171
Istok,42.78,20.49,53.6,71,75,3.36,XK,1590953171
Zhezkazgan,47.8,67.71,78.06,18,6,3.62,KZ,1590953171
Cidreira,-30.18,-50.21,65.8,77,69,14.76,BR,1590953171
Lompoc,34.64,-120.46,64.99,68,40,6.93,US,1590953171
Maun,-19.98,23.42,69.8,28,0,10.29,BW,1590953171
Babaeski,41.43,27.09,58.66,81,35,5.06,TR,1590953172
Kovdor,67.57,30.48,43.43,95,100,3.09,RU,1590953172
Almaznyy,48.04,40.05,62.6,72,0,6.71,RU,1590953172
Lázaro Cárdenas,17.96,-102.2,82.94,60,0,10.96,MX,1590953172
Taltal,-25.4,-70.48,65.98,65,0,5.06,CL,1590953172
Cootamundra,-34.65,148.03,48.99,88,100,5.59,AU,1590953172
Lamu,-2.27,40.9,79.97,81,0,17.38,KE,1590953172
Santa Margherita Ligure,44.33,9.21,61.0,99,40,2.1,IT,1590953172
Mastung,29.8,66.84,72.48,36,0,5.91,PK,1590953173
Vestmannaeyjar,63.44,-20.27,46.67,73,0,11.77,IS,1590953173
Ballina,-28.87,153.57,57.99,93,99,7.94,AU,1590953173
Flinders,-34.58,150.86,51.01,84,100,1.01,AU,1590953173
Udachny,66.42,112.4,51.8,43,90,4.47,RU,1590953173
Jiayuguan City,39.82,98.3,61.7,30,20,5.68,CN,1590953174
Jieshi,22.81,115.83,80.44,89,100,6.76,CN,1590953175
Zaysan,47.47,84.87,61.02,32,0,6.55,KZ,1590953175
Kaspiysk,42.88,47.64,59.0,82,0,4.47,RU,1590953175
Muhos,64.81,25.99,60.8,51,100,6.93,FI,1590953175
Lianzhou,24.78,112.38,75.79,88,100,2.62,CN,1590953175
Dauphin,51.15,-100.05,77.0,39,1,17.22,CA,1590953175
Seoul,37.57,126.98,64.4,93,90,12.75,KR,1590953172
Vanderhoof,54.02,-124.02,61.99,32,100,13.18,CA,1590953176
Ketchikan,55.34,-131.65,53.6,87,90,17.22,US,1590953176
Kuah,6.33,99.84,78.8,94,20,3.36,MY,1590953176
Zonguldak,41.25,31.83,54.79,90,100,3.53,TR,1590953176
Pevek,69.7,170.31,37.63,79,0,5.95,RU,1590953176
Hasaki,35.73,140.83,64.99,88,75,4.7,JP,1590953177
Berlevåg,70.86,29.09,44.94,93,97,14.07,NO,1590953177
Kralendijk,12.15,-68.27,86.0,70,75,19.46,BQ,1590953177
Risør,58.72,9.23,60.26,55,89,3.09,NO,1590953177
Tevaitoa,-16.78,-151.5,80.76,81,44,15.35,PF,1590953177
Arman',59.7,150.17,38.98,87,52,0.63,RU,1590953177
Grasse,43.67,6.92,66.2,72,15,3.36,FR,1590953178
Umm Kaddadah,13.6,26.69,93.88,11,74,9.33,SD,1590953178
Kloulklubed,7.04,134.26,77.0,88,75,4.7,PW,1590953178
Te Horo,-40.81,175.12,48.0,87,100,6.04,NZ,1590953178
Kokkola,63.84,23.13,60.8,44,0,4.7,FI,1590953178
Arrondissement de Dieppe,49.75,1.17,68.0,40,3,6.93,FR,1590953178
Namtsy,62.72,129.67,32.0,71,6,2.24,RU,1590953178
Balabac,7.99,117.06,83.12,79,52,7.7,PH,1590953179
Kousséri,12.08,15.03,98.6,27,59,4.7,CM,1590953179
Suez,29.97,32.53,69.44,47,0,11.1,EG,1590953179
Muros,42.78,-9.06,77.0,79,85,10.0,ES,1590953179
Newport,51.59,-3.0,71.01,46,49,15.17,GB,1590953179
Eyl,7.98,49.82,83.61,75,100,22.57,SO,1590953179
Cassilândia,-19.11,-51.73,77.36,49,11,3.91,BR,1590953179
Fuerte Olimpo,-21.04,-57.87,86.47,46,25,4.83,PY,1590953046
Khuzhir,53.19,107.34,43.77,62,100,10.76,RU,1590953180
Khani,41.96,42.96,60.8,87,62,4.7,GE,1590953180
Marsh Harbour,26.54,-77.06,79.14,68,21,4.54,BS,1590953180
Zarubino,42.63,131.09,54.39,94,91,7.94,RU,1590953180
Ipameri,-17.72,-48.16,74.44,51,0,2.77,BR,1590953180
Itarema,-2.92,-39.92,81.66,81,96,10.58,BR,1590953180
Teguise,29.06,-13.56,73.4,73,40,5.82,ES,1590953180
Mwanza,-2.52,32.9,69.8,68,36,5.82,TZ,1590953180
Taldan,53.67,124.8,37.31,95,100,3.24,RU,1590953181
Odesa,46.48,30.73,59.0,67,20,6.71,UA,1590952889
Pasco,28.29,-82.42,91.99,59,100,3.0,US,1590953059
Roald,62.58,6.13,62.01,63,0,2.24,NO,1590953181
Montepuez,-13.13,39.0,68.79,70,0,10.45,MZ,1590953181
Salinópolis,-0.61,-47.36,81.32,80,100,4.05,BR,1590953181
Santa Ana,33.75,-117.87,75.99,56,75,3.36,US,1590953181
Berwick,41.05,-76.23,64.99,33,76,10.36,US,1590953181
Shunyi,40.12,116.65,71.01,87,100,2.24,CN,1590953182
San Cristobal,7.77,-72.22,87.8,55,40,17.22,VE,1590953182
Mahabalipuram,12.63,80.17,87.8,74,20,10.29,IN,1590953182
Bowen,-20.02,148.23,64.99,100,1,2.24,AU,1590953182
Assiut,27.18,31.18,80.6,34,0,11.41,EG,1590953182
Sibu,2.3,111.82,77.0,94,75,1.52,MY,1590953182
Ahvāz,31.32,48.67,98.6,11,0,9.17,IR,1590953182
Havelock,34.88,-76.9,80.6,42,1,16.11,US,1590953183
Cienfuegos,22.15,-80.44,86.0,70,100,10.29,CU,1590953183
Bikaner,28.02,73.3,88.68,31,7,5.5,IN,1590953183
Sitka,57.05,-135.33,50.0,87,90,5.82,US,1590953183
Lukang,24.06,120.44,82.0,94,40,5.82,TW,1590953184
Indianola,41.36,-93.56,69.01,56,90,8.05,US,1590953185
Karatuzskoye,53.61,92.87,51.57,91,100,9.37,RU,1590953185
Ziro,27.63,93.83,53.64,100,54,1.1,IN,1590953185
Hervey Bay,-25.3,152.85,62.01,92,43,4.0,AU,1590953186
Port Blair,11.67,92.75,82.99,81,90,6.62,IN,1590952990
Marsá Maţrūḩ,31.35,27.25,71.6,60,0,14.99,EG,1590953186
Garissa,-0.45,39.64,79.9,65,0,18.99,KE,1590953186
Wajima,37.4,136.9,65.28,73,100,2.8,JP,1590953186
Villamontes,-21.25,-63.5,64.35,49,97,5.97,BO,1590953186
Sokol,59.46,40.12,43.77,90,100,11.3,RU,1590953186
Iguatu,-6.36,-39.3,78.53,90,100,4.09,BR,1590953187
Codajás,-3.84,-62.06,88.48,63,1,4.03,BR,1590953187
Luorong,24.41,109.61,77.85,89,100,5.21,CN,1590953187
Kapuskasing,49.42,-82.43,53.6,46,90,5.82,CA,1590953187
Lewiston,44.1,-70.21,62.01,35,1,19.46,US,1590953187
Kotel'nich,58.31,48.35,44.15,93,100,12.19,RU,1590953188
Ozernovskiy,51.5,156.52,39.69,80,93,2.04,RU,1590953188
Margate,51.38,1.39,60.01,72,30,4.0,GB,1590953188
Nanortalik,60.14,-45.24,43.48,71,100,2.62,GL,1590953188
Opuwo,-18.06,13.84,65.66,27,0,9.48,NA,1590953188
Mezen',65.85,44.24,37.13,80,100,6.42,RU,1590953188
Östersund,63.18,14.64,69.8,35,72,4.7,SE,1590953188
